text,title,score,illness,health_substance,url
"Conclusion: While there is conflicting evidence about the benefits of omega-3 fatty acid supplementation on SLE disease activity, specific measures have demonstrated benefits. Current data show that there is a potential benefit on disease activity as demonstrated by SLAM-R, Systemic Lupus Erythematosus Disease Activity Index (SLEDAI), and British Isles Lupus Assessment Group (BILAG) scores and plasma membrane arachidonic acid composition and urinary 8-isoprostane levels, with minimal adverse events.   Keywords: Systemic lupus erythematosus; fish oil; omega-3 fatty acids.",The effect of Omega-3 fatty acid supplementation in systemic lupus erythematosus patients: A systematic review,1,"lupus erythematosus, sle",omega-3,https://pubmed.ncbi.nlm.nih.gov/35023407/
Conclusion: Resveratrol possesses protective effects in pristane-induced lupus mice and may represent a novel approach for the management of SLE.,Resveratrol possesses protective effects in a pristane-induced lupus mouse model,2,"lupus erythematosus, sle",resveratrol,https://pubmed.ncbi.nlm.nih.gov/25501752/
"Abstract Nettle root is recommended for complaints associated with benign prostatic hyperplasia (BPH). We therefore conducted a comprehensive review of the literature to summarise the pharmacological and clinical effects of this plant material. Only a few components of the active principle have been identified and the mechanism of action is still unclear. It seems likely that sex hormone binding globulin (SHBG), aromatase, epidermal growth factor and prostate steroid membrane receptors are involved in the anti-prostatic effect, but less likely that 5alpha-reductase or androgen receptors are involved. Extract and a polysaccharide fraction were shown to exert anti-inflammatory activity. A proprietary methanolic nettle root extract and particular fractions inhibited cell proliferation. Isolated lectins (UDA) were shown to be promising immunomodulatory agents, having also anti-viral and fungistatic effects. However, despite these in vitro studies it is unclear whether the in-vitro or animal data are a surrogate for clinical effects. The clinical evidence of effectiveness for nettle root in the treatment of BPH is based on many open studies. A small number of randomised controlled studies indicate that a proprietary methanolic extract is effective in improving BPH complaints. However, the significance and magnitude of the effect remains to be established in further confirmatory studies before nettle root treatment may be accepted in the guidelines for BPH treatment. The risk for adverse events during nettle root treatment is very low, as is its toxicity. Pre-clinical safety data remain to be completed.",A comprehensive review on the stinging nettle effect and efficacy profiles. Part II: urticae radix,2,"benign prostatic hyperplasia, bph",stinging nettle,https://pubmed.ncbi.nlm.nih.gov/17509841/
"Abstract For decades, the focus of managing autoimmune hypothyroidism has been on thyroxine replacement. Correcting lab parameters such as thyroid stimulating hormone (TSH) has been a primary goal. The increasing prevalence of Hashimoto’s thyroiditis (HT) continues to impact the quality of life in patients. We believe a holistic approach to this disease entity, considering its underlying complex etiopathogenesis, would benefit patients. Nutraceuticals are combinations of essential nutrients and are becoming a part of novel medical treatments despite the lack of regulation. This review aims to present a concise summary of recent developments regarding minerals such as zinc, selenium, magnesium, iron, and their potential clinical benefit as nutraceuticals in patients with HT. We have explored the potential benefits and associations of these minerals in HT and thyroid function. We reviewed relevant articles, metanalyses, and clinical trials in literature platforms such as PubMed, PubMed Central, and Google Scholar. Significant data found in the literature suggesting a potential health benefit of these minerals in HT though there were many studies to the contrary. Many trials demonstrated the restoration of residual symptoms, reversal of HT-associated thyroid morphological changes, and improvement in thyroid functions. Many of these trials lack statistical power due to the small sample sizes, and their external validity may be questionable due to unaccounted confounding factors. In our opinion, to support an evidence-based holistic clinical approach, further scientific evidence is needed. The association of these elements in thyroid function necessitates more large scale pragmatic trials to elucidate the benefits of nutraceuticals in HT.   Keywords: essential nutrients, autoimmune thyroiditis, hashimoto's thyroiditis, hypothyroidism, nutraceuticals, zinc, selenium, magnesium, iodine",Minerals: An Untapped Remedy for Autoimmune Hypothyroidism?,1,"hashimoto’s thyroiditis, ht, hypothyroidism","minerals, zinc, selenium, magnesium, iron",https://pubmed.ncbi.nlm.nih.gov/33094039/
"Abstract Background: Hashimoto's thyroiditis (HT) is a common autoimmune disease characterized by high levels of thyroid peroxidase antibody (TPOAb) and thyroid globulin antibody (TgAb) as well as infiltration of lymphocytes in thyroid. In recent years, metformin has been proven to be effective in a variety of autoimmune diseases, such as systemic lupus erythematosus, rheumatoid arthritis and multiple sclerosis.

Methods: This study systematically explored the therapeutic effect of metformin on HT and its underlying mechanism by comprehensively utilizing methods including animal model, in vitro cell culture and differentiation, mRNA sequencing and 16S rRNA sequencing.

Findings: We found that metformin indeed had a therapeutic effect on mice with HT mainly by reducing TgAb and lymphocyte infiltration in thyroid tissue. In addition, metformin also significantly suppressed the number and function of Th17 cells and M1 macrophages polarization in HT mice. Furthermore, metformin can inhibit the differentiation and function of Th17 in vitro. The results of mRNA sequencing of thyroid tissue illustrated that the therapeutic effect of metformin on HT was mainly achieved by regulating immune pathways. 16S RNA sequencing of the intestinal flora found that the intestinal flora of HT mice differs significantly from that of the normal mice and also were altered by metformin treatment.

Interpretation: These experiments provided a preliminary theoretical basis for the clinical application of metformin in the treatment of HT.   Keywords: Hashimoto’s thyroiditis, metformin, Th17 cells, intestinal flora, immune",Metformin Reverses Hashimoto’s Thyroiditis by Regulating Key Immune Events,2,"hashimoto’s thyroiditis, ht, hypothyroidism",metformin,https://pubmed.ncbi.nlm.nih.gov/34124070/
"Conclusion:
From this study, it can be theorized that acupuncture is a viable treatment option for SHypo; however, more rigorous larger-scale research studies need to be conducted to validate and extend these findings.",P03.01. Acupuncture's Effectiveness at Treating Subclinical Hypothyroid Disease via the HPA/HPT Axis: A Multiple Case Series,1,"subclinical hypothyroid, hypo",acupuncture,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3875017/
"Abstract Hypothyroidism is one of the most common endocrine disorders linked to various systemic diseases ranging from obesity to cancers. The present line of management is insufficient as reports suggest that there is persistence of symptoms and poor adherence that makes the management of said disease challenging. Acupuncture and other Traditional Chinese Medicine (TCM) therapies are proven to alleviate endocrine dysfunctions. However, reports on acupuncture and cupping therapy on hypothyroidism are very scarce. Here, we report 5 cases of hypothyroid patients aged between 38-44 yrs who were treated with acupuncture and fire cupping for a period of three months. At the baseline, the patients presented with either a weak, wiry or vacuum pulse which represents spleen Qi deficiency. Further, they presented with elevated levels of Thyroid Stimulating Hormone (TSH), and higher Body Mass Index (BMI). Acupuncture treatment at ST36, LI4, SP6, and BL20 was given bilaterally whilst CV4, LR3, LR4, SP9, ST40, SP10, GV4, KI3, ST12, and SI17 were punctured unilaterally. At the end of the time period of three months, patients progressed to normal levels of TSH, reduction in BMI and had succeeded in tapering their medication doses. Supplementing this, the patients reported marked improvement in other symptoms like fatigue, hair loss, and cold feet post-treatment. The effects were consistent even during the three month follow-up period post-interventions. The results encourage the utilization of acupuncture and fire cupping in the management of hypothyroidism. However, large scale studies are warranted to strengthen this recommendation.   Keywords: Acupuncture; Case report; Fire cupping; Hypothyroidism; Thyroid function; Thyroxine.",Role of Acupuncture and Fire Cupping in Reducing the Thyroxine Dose and Improving the Thyroid Function in Hypothyroidism Patients: A Case Series,2,hypothyroidism,acupuncture,https://pubmed.ncbi.nlm.nih.gov/35770589/
"Abstract Thyroid dysfunction, affecting people of all ages, not only damages human growth and energy metabolism but is also comorbid with other illnesses such as cardiovascular disease, kidney disease and gastrointestinal disorders. With the increasing acceptance of alternative and complementary therapies, acupuncture, a traditional Chinese medical practice, has also been employed to address this problem. Analysing 29 clinical projects that were retrieved from 29 major digital databases and include 1757 patients aged 7-79 years from China, Italy, Korea, Macedonia and Russia, this narrative review offers an overview of the efficacy, and evaluated the safe and cost-effective use of acupuncture against hyperthyroidism, hypothyroidism and thyroid-relevant illnesses. Findings indicated reductions in patient symptoms and improvements in biomarkers where acupuncture was used alone or in combination therapy. In addition to showing the role of acupuncture as an alternative and complementary medicine or as an adjunctive therapy for curative and rehabilitative purposes, more well-designed researches are needed to achieve reliable data.   Keywords: Acupuncture; Alternative and complementary medicine; Endocrine system; Integrative medicine; Thyroidism; Traditional Chinese medicine.",An overview of the contribution of acupuncture to thyroid disorders,1,"hyperthyroidism, hypothyroidism",acupuncture,https://pubmed.ncbi.nlm.nih.gov/30341025/
Conclusions: This study demonstrates that women with SCH had lower PALs compared to healthy controls. Women with SCH should participate in exercise programs to increase physical activity and muscle strength to achieve adequate PALs.   Keywords: Arterial stiffness; Physical activity; Six-minute walk test; Subclinical hypothyroidism; Women.,Physical activity in women with subclinical hypothyroidism,0,subclinical hypothyroidism,physical activity,https://pubmed.ncbi.nlm.nih.gov/30456624/
"Conclusions: A limited body of knowledge exists concerning exercise tolerance in treated patients with hypothyroidism, and there is an insufficient amount of quantitative studies on the effects of a physical training program. To enhance exercise and sports participation for this specific group, more research in this forgotten area is warranted.   Keywords: physical activity; physical performance capacity; quality of life; thyroid dysfunction.",Impact of overt and subclinical hypothyroidism on exercise tolerance: a systematic review,0,hypothyroidism,physical activity,https://pubmed.ncbi.nlm.nih.gov/25141089/
